Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
SONDOTECNICA S/A.,SOND5,52.74,71.88,1.9,5465.0,[]
SONDOTECNICA S/A.,SOND6,58.0,82.23,1.9,1213.0,[]
SINQIA,SQIA3,22.87,120.06,5.6,13208200.0,[]
SBPAR,STBP3,8.36,69.73,9.2,50942900.0,[]
Suzano Papel,SUZB3,64.66,16.06,29.7,466943000.0,[]
TAESA,TAEE11,39.83,7.3,69.4,88920800.0,[]
TAESA,TAEE3,13.26,7.29,69.4,1504120.0,[]
TAESA,TAEE4,13.3,7.31,69.4,3531520.0,[]
TAURUS ARMAS,TASA3,24.1,5.36,27.4,2422630.0,[]
TAURUS ARMAS,TASA4,24.96,5.52,27.4,53166200.0,[]
TECNOSOLO S/A,TCNO3,2.49,-11.72,,349051.0,['RECUPERAÇÃO JUDICIAL']
TECNOSOLO S/A,TCNO4,2.0,-10.96,,543793.0,['RECUPERAÇÃO JUDICIAL']
TECNISA,TCSA3,7.62,-9.15,-54.6,10573600.0,[]
TECHNOS,TECN3,2.15,7.12,11.4,7212120.0,[]
TEKA S.A.,TEKA3,49.0,-255.01,-1.5,5100.0,['RECUPERAÇÃO JUDICIAL']
TEKA S.A.,TEKA4,17.38,-247.74,-1.5,151571.0,['RECUPERAÇÃO JUDICIAL']
TELEBRAS,TELB3,75.5,-14.44,-113.5,54838.0,[]
TELEBRAS,TELB4,31.08,-4.64,-113.5,265933.0,[]
Tenda,TEND3,24.17,6.63,15.6,25254100.0,[]
TERRA SANTA,TESA3,43.0,9.43,15.8,1740250.0,[]
TRACK FIELD,TFCO4,12.37,244.63,17.4,1459520.0,[]
Tegma,TGMA3,21.96,13.77,10.7,10080500.0,[]
TIM,TIMS3,12.02,8.49,18.5,71037500.0,[]
TEKNO,TKNO4,59.0,6.05,12.4,6064.0,[]
TOTVS,TOTS3,33.12,16.39,41.2,129471000.0,[]
TRIUNFO PARTICIPACOES SA,TPIS3,3.36,-25.39,-9.5,21640300.0,[]
Trisul,TRIS3,10.09,10.44,20.7,11246400.0,[]
